Ballot ID,Full Council District,CounDist,CounPerson,Category,location_type,name,Cost,description,Location,lat,lon,Notes,shortlisted
0001,"District 03, Corey Johnson",3,Corey Johnson,Parks & Recreation,parks,Grounds Renovation at Chelsea-Elliott Houses,"$500,000","Add new playground fencing, renovate walkways, and revitalize garden and grassy areas. Project would be designed to budget and priority areas would be determined in conjunction with the RA leadership.","425 West 25th Street, New York, NY 10001",40.748788, -74.001472,,TRUE
0002,"District 03, Corey Johnson",3,Corey Johnson,Parks & Recreation,parks,Repair/Reopen Staircase at DeWitt Clinton Park,"$500,000",The southwest entrance staircase is crumbling and has been closed for years. Repairing this entrance will make the park accessible to visitors and easier for children to enter the park on 12th Ave.,"West 52 Street and 11 Avenue, New York, NY 10019",40.768266, -73.993552,,TRUE
0003,"District 03, Corey Johnson",3,Corey Johnson,Parks & Recreation,parks,Renovation of Historic Field House,"$250,000",Restoration towards the Downing Street playground's historic field house and bathrooms to make them wheelchair accessible.,"1 Downing Street, New York, NY 10014",40.729745, -74.002362,,TRUE
0004,"District 03, Corey Johnson",3,Corey Johnson,Parks & Recreation,parks,New Fitness Equipment for Chelsea Park,"$180,000","New fitness units, including safety surfacing, seating and drinking fountains replacement.","West 27th Street and 10th Avenue, New York, NY 10001",40.750301,-74.000865,,TRUE
0005,"District 03, Corey Johnson",3,Corey Johnson,Education,education,New Audio / Visual System for P.S 11,"$75,000",A new Audio/Visual System in the auditorium of P.S. 11. The school needs a working A/V system to fulfill its curriculum requirements for students.,"320 West 21st Street, New York, NY 10011",40.744469, -74.000720,,TRUE
0006,"District 03, Corey Johnson",3,Corey Johnson,Education,education,"Bathroom Upgrade - Lab MS, Lab HS & Museum High","$560,000","Phase 2 renovations will make needed repairs to bathrooms on upper floors, addressing health and hygiene concerns for the school community.","333 West 17th Street, New York, NY 10011",40.742815,-74.002834,,TRUE
0007,"District 03, Corey Johnson",3,Corey Johnson,Education,education,"Gym Renovation - Lab M.S, Lab H.S.& Museum High","$300,000","Gym improvements with exploration to build more communal space will address broken bleachers, difficult to operate scoreboard, flooring to support aerobic activity, and create more educational space.","333 West 17th Street, New York, NY 10011",40.742715, -74.002734,,TRUE
0008,"District 03, Corey Johnson",3,Corey Johnson,Education,education,A New Library for City Knoll School ,"$300,000",Technological and construction updates to create a library space at City Knoll School. This project will help engage students and prepare them for the skills needed in the 21st century.,"425 West 33rd Street, New York, NY 10001",40.753608, -73.997925,,TRUE
0009,"District 03, Corey Johnson",3,Corey Johnson,Education,education,A Green Roof for 75 Morton School ,"$200,000",Build a green roof on the new middle school coming to 75 Morton Street. This would provide new physical and educational opportunities for students. ,"75 Morton Street, New York, NY 10014",40.731214, -74.007365,,TRUE
0010,"District 03, Corey Johnson",3,Corey Johnson,Transit,transit,Real Time Rider Information at Bus Stops,"$100,000","Electronic Boards to display real time bus arrival information at five key bus stops, offering convenience for riders. The proposed locations will be subject to feasibility analysis by DOT.",District Wide,40.74901,-73.993783,Locations are not set so we used the District Office location,TRUE
0011,"District 03, Corey Johnson",3,Corey Johnson,Transit,transit,More Turnstiles at C/E 50th Street Station,"$135,000",Install two additional turnstiles at the entrance/exit of the C/E 50th Street uptown platform. More turnstiles will ease congestion and reduce wait times for passengers at this entrance/exit.,C/E Subway Station at 50th Street and 8th Avenue,40.762458, -73.986019,,TRUE
0012,"District 03, Corey Johnson",3,Corey Johnson,"Arts, Culture & Community Facilities",culture,Cool Muhlenberg Library. Renovate HVAC System,"$500,000","Replace the building's HVAC cooling unit to ensure that the branch can continue to serve as a cool space in the summer months, which includes serving as an official NYC Cooling Center.","209 West 23rd Street, New York, NY 10011",40.744517, -73.995888,,TRUE
0013,"District 03, Corey Johnson",3,Corey Johnson,Youth,youth,Renovate the Basketball Court at Chelsea Park,"$350,000",The basketball court is a neighborhood favorite which needs to be improved for the safety and enjoyment of the community. This project would repave the court and install new rims.,"West 27th Street and 10th Avenue, New York, NY 10001",40.750201, -74.000765,,TRUE
0014,"District 03, Corey Johnson",3,Corey Johnson,Youth,youth,Renovation at Gertrude Kelly Playground,"$350,000",Renovate the basketball court and adjacent sidewalk at Gertrude Kelly Playground,"West 17th Street between 8th and 9th Avenues, NY, NY 10011",40.741666, -74.001978,,TRUE
0015,"District 03, Corey Johnson",3,Corey Johnson,Environment,environment,New Trees for Council District 3,"$100,000",Plant new trees and install tree guards on blocks with few or no trees throughout District 3.,District Wide,40.748910, -73.993683,Locations are not set so we used the District Office location,TRUE
0016,"District 05, Ben Kallos",5,Ben Kallos,Housing,housing,Lexington Houses Security Upgrade ,"$500,000","Purchase and install layered security system to ensure residents' safety in light of growing issues and incidents and the rise in neighborhood homeless population, which has caused security problems.","East Lexington Avenue between 98-99 Streets, 1538 Lexington Avenue, New York, NY 10029",40.787611, -73.950071,,TRUE
0017,"District 05, Ben Kallos",5,Ben Kallos,Youth,youth,Lexington Houses East & West Playground Renovation,"$700,000","Provide safety-compliant resurfacing and equipment for two community playgrounds, serving a large mix of resident families, with features that appeal to children from 6 months to 15 years old.","E. 98 St. between 3rd & Lex/ Lex & Park Aves.; 146 East 98th Street, New York, NY 10029",40.787000, -73.949191,only gave the coordinates for one location,TRUE
0018,"District 05, Ben Kallos",5,Ben Kallos,Parks & Recreation,parks,Parks Greening,"$1,000,000","Install new and improve existing plantings – trees, shrubs, flowers and grass -  around perimeters and entrances of John Jay Park.","John Jay Park, New York, NY 10075",40.769261, -73.949312,,TRUE
0019,"District 05, Ben Kallos",5,Ben Kallos,Education,education,STEM Green Roof for P.S./I.S. 217,"$500,000","Finalize funding to build a STEM Green Roof atop P.S. /I.S. 217. Transform 6,750 square feet of unused P.S./I.S. 217 school roof into an outdoor learning hub for science, math, nutrition and the arts.","645 Main Street, Roosevelt Island, NY 10044",40.763917, -73.948617,,TRUE
0020,"District 05, Ben Kallos",5,Ben Kallos,Education,education,Library Modernization for Eleanor Roosevelt H.S.,"$350,000","Create flexible learning space with access to computers, listening center, digital and print media, separate quiet and group spaces.  Currently cannot support number of students and technology needs.","411 East 76th Street, Ne York, NY 10021",40.770373,-73.953316,,TRUE
0021,"District 05, Ben Kallos",5,Ben Kallos,Education,education,Renovate Auditorium for Eleanor Roosevelt H.S.,"$250,000","Extend stage and replace seating and flooring to improve view, increase capacity, and support gym activities. Replace antiquated control board, install acoustical panels and simplify lighting system.","411 East 76th Street, Ne York, NY 10021",40.770273, -73.953216,,TRUE
0022,"District 05, Ben Kallos",5,Ben Kallos,Education,education,Rooftop Greenhouse at P.S. 290,"$500,000",Construction of a greenhouse as part of the green roof project at PS290. The 800sf greenhouse will provide opportunities to enhance the school's STEAM curricula & create desperately needed play space.,"311 East 82nd Street, New York, NY 10028",40.775267,-73.952917,,TRUE
0023,"District 05, Ben Kallos",5,Ben Kallos,Education,education,P.S. 290 Bathrooms,"$225,000",Replace toilets and sinks with age-appropriate fixtures and fittings. Remove unused urinals in boys bathrooms.,"311 East 82nd Street, New York, NY 10028",40.775167, -73.952817,,TRUE
