District,Council Member,Borough
03,Corey Johnson,Manhattan
05,Ben Kallos,Manhattan
06,Helen Rosenthal,Manhattan
07,Mark Levine,Manhattan
08,Melissa Mark-Viverito,Manhattan_Bronx
10,Ydanis Rodriguez,Manhattan
11,Andrew Cohen,Bronx
15,Ritchie Torres,Bronx
16,Vanessa Gibson,Bronx
17,Rafael Salamanca,Bronx
19,Paul Vallone,Queens
22,Costa Constantinides,Queens
23,Barry Grodenchik,Queens
26,Jimmy Van Bramer,Queens
27,I. Daneek Miller,Queens
29,Karen Koslowitz,Queens
30,Elizabeth Crowley,Queens
31,Donovan Richards,Queens
33,Stephen Levin,Brooklyn
34,Antonio Reynoso,Brooklyn_Queens
35,Laurie Cumbo,Brooklyn
36,Robert Cornegy,Brooklyn
38,Carlos Menchaca,Brooklyn
39,Brad Lander,Brooklyn
40,Mathieu Eugene,Brooklyn
44,David Greenfield,Brooklyn
45,Jumaane Williams,Brooklyn
47,Mark Treyger,Brooklyn
49,Debi Rose,Staten Island
